gene	report_path	if_candidate	hpa_images_found	hpa_location	hpa_subcell_url	hpa_image_urls	hpa_error	pae_candidate	pae_url	pae_error	changed	applied
ANKRD2	detail/chromatin/ANKRD2/ANKRD2-evaluation.md	True	6	Vesicles (enhanced)	https://www.proteinatlas.org/ENSG00000165887-ANKRD2/subcellular	https://images.proteinatlas.org/40842/534_B12_2_blue_red_green.jpg;https://images.proteinatlas.org/40842/534_B12_3_blue_red_green.jpg;https://images.proteinatlas.org/40842/539_B12_1_blue_red_green.jpg;https://images.proteinatlas.org/40842/539_B12_2_blue_red_green.jpg;https://images.proteinatlas.org/40842/552_B12_1_blue_red_green.jpg;https://images.proteinatlas.org/40842/552_B12_2_blue_red_green.jpg		True	https://alphafold.ebi.ac.uk/files/AF-Q9GZV1-F1-predicted_aligned_error_v6.png		True	True
ASB7	detail/chromatin/ASB7/ASB7-evaluation.md	False	0					True		pae_png_not_found_for_EXPERIMENT	False	False
AUNIP	detail/chromatin/AUNIP/AUNIP-evaluation.md	False	0					True		pae_png_not_found_for_EXPERIMENT	False	False
AURKC	detail/chromatin/AURKC/AURKC-evaluation.md	True	0		https://www.proteinatlas.org/ENSG00000105146-AURKC/subcellular			True	https://alphafold.ebi.ac.uk/files/AF-Q9UQB9-F1-predicted_aligned_error_v6.png		True	True
BANF2	detail/chromatin/BANF2/BANF2-evaluation.md	True	0		https://www.proteinatlas.org/ENSG00000125888-BANF2/subcellular			True	https://alphafold.ebi.ac.uk/files/AF-Q9H503-F1-predicted_aligned_error_v6.png		True	True
BARHL2	detail/chromatin/BARHL2/BARHL2-evaluation.md	True	0		https://www.proteinatlas.org/ENSG00000143032-BARHL2/subcellular			True	https://alphafold.ebi.ac.uk/files/AF-Q9NY43-F1-predicted_aligned_error_v6.png		True	True
BATF2	detail/chromatin/BATF2/BATF2-evaluation.md	True	6	Nucleoli (approved)	https://www.proteinatlas.org/ENSG00000168062-BATF2/subcellular	https://images.proteinatlas.org/62496/1361_H7_1_blue_red_green.jpg;https://images.proteinatlas.org/62496/1361_H7_2_blue_red_green.jpg;https://images.proteinatlas.org/62496/1366_H7_2_blue_red_green.jpg;https://images.proteinatlas.org/62496/1366_H7_3_blue_red_green.jpg;https://images.proteinatlas.org/62496/1418_B7_1_blue_red_green.jpg;https://images.proteinatlas.org/62496/1418_B7_2_blue_red_green.jpg		True	https://alphafold.ebi.ac.uk/files/AF-Q8N1L9-F1-predicted_aligned_error_v6.png		True	True
BHLHA9	detail/chromatin/BHLHA9/BHLHA9-evaluation.md	True	0		https://www.proteinatlas.org/ENSG00000205899-BHLHA9/subcellular			True	https://alphafold.ebi.ac.uk/files/AF-Q7RTU4-F1-predicted_aligned_error_v6.png		True	True
BHLHE23	detail/chromatin/BHLHE23/BHLHE23-evaluation.md	True	0		https://www.proteinatlas.org/ENSG00000125533-BHLHE23/subcellular			True	https://alphafold.ebi.ac.uk/files/AF-Q8NDY6-F1-predicted_aligned_error_v6.png		True	True
BOD1L2	detail/chromatin/BOD1L2/BOD1L2-evaluation.md	True	0		https://www.proteinatlas.org/ENSG00000228075-BOD1L2/subcellular			True		pae_png_not_found_for_CHROMOSOME	False	False
BSX	detail/chromatin/BSX/BSX-evaluation.md	True	0		https://www.proteinatlas.org/ENSG00000188909-BSX/subcellular			True	https://alphafold.ebi.ac.uk/files/AF-Q3C1V8-F1-predicted_aligned_error_v6.png		True	True
CALCOCO1	detail/chromatin/CALCOCO1/CALCOCO1-evaluation.md	True	6	Cytosol (supported)	https://www.proteinatlas.org/ENSG00000012822-CALCOCO1/subcellular	https://images.proteinatlas.org/38313/563_H10_1_blue_red_green.jpg;https://images.proteinatlas.org/38313/563_H10_2_blue_red_green.jpg;https://images.proteinatlas.org/38313/566_H10_2_blue_red_green.jpg;https://images.proteinatlas.org/38313/566_H10_3_blue_red_green.jpg;https://images.proteinatlas.org/38313/569_H10_2_blue_red_green.jpg;https://images.proteinatlas.org/38313/569_H10_3_blue_red_green.jpg		True	https://alphafold.ebi.ac.uk/files/AF-Q9P1Z2-F1-predicted_aligned_error_v6.png		True	True
CKAP5	detail/chromatin/CKAP5/CKAP5-evaluation.md	False	0					True	https://alphafold.ebi.ac.uk/files/AF-Q14008-F1-predicted_aligned_error_v6.png		True	True
CTPS1	detail/chromatin/CTPS1/CTPS1-evaluation.md	False	0					True	https://alphafold.ebi.ac.uk/files/AF-P17812-F1-predicted_aligned_error_v6.png		True	True
CUX2	detail/chromatin/CUX2/CUX2-evaluation.md	True	0		https://www.proteinatlas.org/ENSG00000111249-CUX2/subcellular			True	https://alphafold.ebi.ac.uk/files/AF-O14529-F1-predicted_aligned_error_v6.png		True	True
CYREN	detail/chromatin/CYREN/CYREN-evaluation.md	True	0		https://www.proteinatlas.org/ENSG00000122783-CYREN/subcellular			True	https://alphafold.ebi.ac.uk/files/AF-Q9BWK5-F1-predicted_aligned_error_v6.png		True	True
DBX1	detail/chromatin/DBX1/DBX1-evaluation.md	True	0		https://www.proteinatlas.org/ENSG00000109851-DBX1/subcellular			True	https://alphafold.ebi.ac.uk/files/AF-A6NMT0-F1-predicted_aligned_error_v6.png		True	True
DMBX1	detail/chromatin/DMBX1/DMBX1-evaluation.md	True	0		https://www.proteinatlas.org/ENSG00000197587-DMBX1/subcellular			True	https://alphafold.ebi.ac.uk/files/AF-Q8NFW5-F1-predicted_aligned_error_v6.png		True	True
DMRT3	detail/chromatin/DMRT3/DMRT3-evaluation.md	True	0		https://www.proteinatlas.org/ENSG00000064218-DMRT3/subcellular			True	https://alphafold.ebi.ac.uk/files/AF-Q9NQL9-F1-predicted_aligned_error_v6.png		True	True
DMRTB1	detail/chromatin/DMRTB1/DMRTB1-evaluation.md	True	0		https://www.proteinatlas.org/ENSG00000143006-DMRTB1/subcellular			True	https://alphafold.ebi.ac.uk/files/AF-Q96MA1-F1-predicted_aligned_error_v6.png		True	True
DMRTC2	detail/chromatin/DMRTC2/DMRTC2-evaluation.md	True	0		https://www.proteinatlas.org/ENSG00000142025-DMRTC2/subcellular			True	https://alphafold.ebi.ac.uk/files/AF-Q8IXT2-F1-predicted_aligned_error_v6.png		True	True
DNAJB13	detail/chromatin/DNAJB13/DNAJB13-evaluation.md	True	6	Plasma membrane (uncertain)	https://www.proteinatlas.org/ENSG00000187726-DNAJB13/subcellular	https://images.proteinatlas.org/61330/1694_D9_13_cr580a44762f8ff_blue_red_green.jpg;https://images.proteinatlas.org/61330/1694_D9_18_cr580a445003630_blue_red_green.jpg;https://images.proteinatlas.org/61330/1771_E2_1_blue_red_green.jpg;https://images.proteinatlas.org/61330/1771_E2_2_blue_red_green.jpg;https://images.proteinatlas.org/61330/1788_G8_10_cr5971fdad05db8_blue_red_green.jpg;https://images.proteinatlas.org/61330/1788_G8_19_cr5971fdad0560c_blue_red_green.jpg		True	https://alphafold.ebi.ac.uk/files/AF-P59910-F1-predicted_aligned_error_v6.png		True	True
