gene	report_path	if_candidate	hpa_images_found	hpa_location	hpa_subcell_url	hpa_image_urls	hpa_error	pae_candidate	pae_url	pae_error	changed	applied
ASB7	detail/chromatin/ASB7/ASB7-evaluation.md	True	6	Golgi apparatus (approved)	https://www.proteinatlas.org/ENSG00000183475-ASB7/subcellular	https://images.proteinatlas.org/3300/71_E1_1_blue_red_green.jpg;https://images.proteinatlas.org/3300/71_E1_2_blue_red_green.jpg;https://images.proteinatlas.org/3300/72_E1_1_blue_red_green.jpg;https://images.proteinatlas.org/3300/72_E1_2_blue_red_green.jpg;https://images.proteinatlas.org/3300/73_E1_1_blue_red_green.jpg;https://images.proteinatlas.org/3300/73_E1_2_blue_red_green.jpg		True		pae_png_not_found_for_EXPERIMENT	True	True
ASF1A	detail/chromatin/ASF1A/ASF1A-evaluation.md	False	0					True	https://alphafold.ebi.ac.uk/files/AF-Q9Y294-F1-predicted_aligned_error_v6.png		True	True
AUNIP	detail/chromatin/AUNIP/AUNIP-evaluation.md	True	6	Centrosome (supported)	https://www.proteinatlas.org/ENSG00000127423-AUNIP/subcellular	https://images.proteinatlas.org/28730/1773_B12_3_blue_red_green.jpg;https://images.proteinatlas.org/28730/1773_B12_5_blue_red_green.jpg;https://images.proteinatlas.org/28730/273_H5_1_blue_red_green.jpg;https://images.proteinatlas.org/28730/273_H5_2_blue_red_green.jpg;https://images.proteinatlas.org/28730/274_H5_1_blue_red_green.jpg;https://images.proteinatlas.org/28730/274_H5_2_blue_red_green.jpg		True		pae_png_not_found_for_EXPERIMENT	True	True
BOD1L2	detail/chromatin/BOD1L2/BOD1L2-evaluation.md	True	0		https://www.proteinatlas.org/ENSG00000228075-BOD1L2/subcellular			True		pae_png_not_found_for_CHROMOSOME	False	False
CENPK	detail/chromatin/CENPK/CENPK-evaluation.md	True	0		https://www.proteinatlas.org/ENSG00000123219-CENPK/subcellular			True	https://alphafold.ebi.ac.uk/files/AF-Q9BS16-F1-predicted_aligned_error_v6.png		True	True
CENPX	detail/chromatin/CENPX/CENPX-evaluation.md	True	0		https://www.proteinatlas.org/ENSG00000169689-CENPX/subcellular			True	https://alphafold.ebi.ac.uk/files/AF-A8MT69-F1-predicted_aligned_error_v6.png		True	True
CSNK1A1	detail/chromatin/CSNK1A1/CSNK1A1-evaluation.md	False	0					True	https://alphafold.ebi.ac.uk/files/AF-P48729-F1-predicted_aligned_error_v6.png		True	True
GINS4	detail/chromatin/GINS4/GINS4-evaluation.md	False	0					True	https://alphafold.ebi.ac.uk/files/AF-Q9BRT9-F1-predicted_aligned_error_v6.png		True	True
HP1BP3	detail/chromatin/HP1BP3/HP1BP3-evaluation.md	False	0					True	https://alphafold.ebi.ac.uk/files/AF-Q5SSJ5-F1-predicted_aligned_error_v6.png		True	True
MLXIPL	detail/chromatin/MLXIPL/MLXIPL-evaluation.md	True	6	Nucleoplasm (supported)	https://www.proteinatlas.org/ENSG00000009950-MLXIPL/subcellular	https://images.proteinatlas.org/64640/1209_C1_1_red_green.jpg;https://images.proteinatlas.org/64640/1209_C1_2_red_green.jpg;https://images.proteinatlas.org/64640/1215_C1_1_red_green.jpg;https://images.proteinatlas.org/64640/1215_C1_3_red_green.jpg;https://images.proteinatlas.org/64640/1294_D5_1_red_green.jpg;https://images.proteinatlas.org/64640/1294_D5_3_red_green.jpg		True	https://alphafold.ebi.ac.uk/files/AF-Q9NP71-F1-predicted_aligned_error_v6.png		True	True
NAP1L2	detail/chromatin/NAP1L2/NAP1L2-evaluation.md	False	0					True	https://alphafold.ebi.ac.uk/files/AF-Q9ULW6-F1-predicted_aligned_error_v6.png		True	True
NCAPD2	detail/chromatin/NCAPD2/NCAPD2-evaluation.md	False	0					True		pae_png_not_found_for_NUCLEUS	False	False
SETMAR	detail/chromatin/SETMAR/SETMAR-evaluation.md	False	0					True	https://alphafold.ebi.ac.uk/files/AF-Q53H47-F1-predicted_aligned_error_v6.png		True	True
UFL1	detail/chromatin/UFL1/UFL1-evaluation.md	True	0	Endoplasmic reticulum (supported)	https://www.proteinatlas.org/ENSG00000014123-UFL1/subcellular			True	https://alphafold.ebi.ac.uk/files/AF-O94874-F1-predicted_aligned_error_v6.png		True	True
ABRAXAS1	detail/nuclear-body/ABRAXAS1/ABRAXAS1-evaluation.md	True	6	Nuclear bodies (supported)	https://www.proteinatlas.org/ENSG00000163322-ABRAXAS1/subcellular	https://images.proteinatlas.org/37654/738_D2_2_red_green.jpg;https://images.proteinatlas.org/37654/738_D2_3_red_green.jpg;https://images.proteinatlas.org/37654/750_D2_1_red_green.jpg;https://images.proteinatlas.org/37654/750_D2_2_red_green.jpg;https://images.proteinatlas.org/37654/822_H7_2_red_green.jpg;https://images.proteinatlas.org/37654/822_H7_4_red_green.jpg		True		pae_png_not_found_for_SUBCELLULA	True	True
AMER1	detail/nuclear-body/AMER1/AMER1-evaluation.md	True	6	Nuclear bodies (supported)	https://www.proteinatlas.org/ENSG00000184675-AMER1/subcellular	https://images.proteinatlas.org/65265/1151_D11_1_blue_red_green.jpg;https://images.proteinatlas.org/65265/1151_D11_2_blue_red_green.jpg;https://images.proteinatlas.org/65265/1154_D11_1_blue_red_green.jpg;https://images.proteinatlas.org/65265/1154_D11_2_blue_red_green.jpg;https://images.proteinatlas.org/65265/1254_F7_1_blue_red_green.jpg;https://images.proteinatlas.org/65265/1254_F7_2_blue_red_green.jpg		True	https://alphafold.ebi.ac.uk/files/AF-Q5JTC6-F1-predicted_aligned_error_v6.png		True	True
ANGEL2	detail/nuclear-body/ANGEL2/ANGEL2-evaluation.md	True	6	Nucleoplasm (approved)	https://www.proteinatlas.org/ENSG00000174606-ANGEL2/subcellular	https://images.proteinatlas.org/30795/1792_B11_1_red_green.jpg;https://images.proteinatlas.org/30795/1792_B11_4_red_green.jpg;https://images.proteinatlas.org/30795/1838_B11_31_red_green.jpg;https://images.proteinatlas.org/30795/1838_B11_32_red_green.jpg;https://images.proteinatlas.org/30795/1893_J21_21_cr5bbdf4b7c361a_red_green.jpg;https://images.proteinatlas.org/30795/1893_J21_2_cr5bbdf4b7c30d8_red_green.jpg		True	https://alphafold.ebi.ac.uk/files/AF-Q5VTE6-F1-predicted_aligned_error_v6.png		True	True
ANXA9	detail/nuclear-body/ANXA9/ANXA9-evaluation.md	True	6	Nuclear speckles (approved)	https://www.proteinatlas.org/ENSG00000143412-ANXA9/subcellular	https://images.proteinatlas.org/28698/1207_C3_1_blue_red_green.jpg;https://images.proteinatlas.org/28698/1207_C3_2_blue_red_green.jpg;https://images.proteinatlas.org/28698/322_H3_1_blue_red_green.jpg;https://images.proteinatlas.org/28698/322_H3_2_blue_red_green.jpg;https://images.proteinatlas.org/28698/335_H3_1_blue_red_green.jpg;https://images.proteinatlas.org/28698/335_H3_2_blue_red_green.jpg		True	https://alphafold.ebi.ac.uk/files/AF-O76027-F1-predicted_aligned_error_v6.png		True	True
APBB3	detail/nuclear-body/APBB3/APBB3-evaluation.md	True	6	Nuclear bodies (supported)	https://www.proteinatlas.org/ENSG00000113108-APBB3/subcellular	https://images.proteinatlas.org/5571/2144_A3_1_blue_red_green.jpg;https://images.proteinatlas.org/5571/2144_A3_2_blue_red_green.jpg;https://images.proteinatlas.org/5571/2189_D2_2_blue_red_green.jpg;https://images.proteinatlas.org/5571/2189_D2_3_blue_red_green.jpg;https://images.proteinatlas.org/5571/73_B9_1_blue_red_green.jpg;https://images.proteinatlas.org/5571/73_B9_2_blue_red_green.jpg		True	https://alphafold.ebi.ac.uk/files/AF-O95704-F1-predicted_aligned_error_v6.png		True	True
