relative_path	file_name	file_ext	file_type_guess	size_bytes	modified_time	top_level_dir	depth	is_report	is_audit	is_protocol	is_script	is_log	is_packet	is_image	is_summary	is_temp_or_cache	is_git_related	should_keep	should_move_later	recommended_target_group	reason
.DS_Store	.DS_Store		temp_cache	10244	1780557810.2825518	.DS_Store	0	False	False	False	False	False	False	False	False	True	False	True	False	KEEP	analysis
Proteins.md	Proteins.md	.md	unknown	1350	1779978854.0515852	Proteins.md	0	False	False	False	False	False	False	False	False	False	False	True	False	KEEP	analysis
_cache/af_P61970.json	af_P61970.json	.json	source_data	1965	1780142182.007682	_cache	1	False	False	False	False	False	False	False	False	False	False	True	False	KEEP	analysis
_cache/af_Q03828.json	af_Q03828.json	.json	source_data	2675	1780142181.506926	_cache	1	False	False	False	False	False	False	False	False	False	False	True	False	KEEP	analysis
_cache/af_Q6PIW4.json	af_Q6PIW4.json	.json	source_data	5649	1780142181.5069237	_cache	1	False	False	False	False	False	False	False	False	False	False	True	False	KEEP	analysis
_cache/af_Q6SPF0.json	af_Q6SPF0.json	.json	source_data	2557	1780142181.7598765	_cache	1	False	False	False	False	False	False	False	False	False	False	True	False	KEEP	analysis
_cache/af_Q8IYI0.json	af_Q8IYI0.json	.json	source_data	3898	1780142181.7598667	_cache	1	False	False	False	False	False	False	False	False	False	False	True	False	KEEP	analysis
_cache/af_Q99504.json	af_Q99504.json	.json	source_data	12789	1780142181.7772431	_cache	1	False	False	False	False	False	False	False	False	False	False	True	False	KEEP	analysis
_cache/af_Q9UHB9.json	af_Q9UHB9.json	.json	source_data	10386	1780142181.7788022	_cache	1	False	False	False	False	False	False	False	False	False	False	True	False	KEEP	analysis
_cache/af_Q9UKT7.json	af_Q9UKT7.json	.json	source_data	2568	1780142181.4762125	_cache	1	False	False	False	False	False	False	False	False	False	False	True	False	KEEP	analysis
_cache/ij_alphafold.json	ij_alphafold.json	.json	source_data	5926	1780082654.9245515	_cache	1	False	False	False	False	False	False	False	False	False	False	True	False	KEEP	analysis
_cache/ij_hpa.json	ij_hpa.json	.json	source_data	1592	1780082875.272617	_cache	1	False	False	False	False	False	False	False	False	False	False	True	False	KEEP	analysis
_cache/ij_hpa_detail.json	ij_hpa_detail.json	.json	source_data	4050	1780082994.0429013	_cache	1	False	False	False	False	False	False	False	False	False	False	True	False	KEEP	analysis
_cache/ij_intact.json	ij_intact.json	.json	source_data	92520	1780082816.9196348	_cache	1	False	False	False	False	False	False	False	False	False	False	True	False	KEEP	analysis
_cache/ij_pubmed.json	ij_pubmed.json	.json	source_data	1015	1780082702.3494973	_cache	1	False	False	False	False	False	False	False	False	False	False	True	False	KEEP	analysis
_cache/ij_string.json	ij_string.json	.json	source_data	45933	1780082764.2395258	_cache	1	False	False	False	False	False	False	False	False	False	False	True	False	KEEP	analysis
_cache/ij_uniprot.json	ij_uniprot.json	.json	source_data	32638	1780082464.881831	_cache	1	False	False	False	False	False	False	False	False	False	False	True	False	KEEP	analysis
_cache/intact_EVX2.tsv	intact_EVX2.tsv	.tsv	source_data	83657	1780142196.3861363	_cache	1	False	False	False	False	False	False	False	False	False	False	True	False	KEEP	analysis
_cache/intact_EYA3.tsv	intact_EYA3.tsv	.tsv	source_data	510795	1780142195.9866412	_cache	1	False	False	False	False	False	False	False	False	False	False	True	False	KEEP	analysis
_cache/intact_FBXL3.tsv	intact_FBXL3.tsv	.tsv	source_data	390875	1780142195.9170294	_cache	1	False	False	False	False	False	False	False	False	False	False	True	False	KEEP	analysis
_cache/intact_FIGNL1.tsv	intact_FIGNL1.tsv	.tsv	source_data	335016	1780142195.7184632	_cache	1	False	False	False	False	False	False	False	False	False	False	True	False	KEEP	analysis
_cache/intact_NUTF2.tsv	intact_NUTF2.tsv	.tsv	source_data	982727	1780142196.9601662	_cache	1	False	False	False	False	False	False	False	False	False	False	True	False	KEEP	analysis
_cache/intact_SAMD1.tsv	intact_SAMD1.tsv	.tsv	source_data	833139	1780142196.3069468	_cache	1	False	False	False	False	False	False	False	False	False	False	True	False	KEEP	analysis
_cache/intact_SHLD1.tsv	intact_SHLD1.tsv	.tsv	source_data	177961	1780142195.4689438	_cache	1	False	False	False	False	False	False	False	False	False	False	True	False	KEEP	analysis
_cache/intact_SRP68.tsv	intact_SRP68.tsv	.tsv	source_data	1414789	1780142197.1322167	_cache	1	False	False	False	False	False	False	False	False	False	False	True	False	KEEP	analysis
_cache/pdb_P61970.json	pdb_P61970.json	.json	source_data	306	1780142207.2404573	_cache	1	False	False	False	False	False	False	False	False	False	False	True	False	KEEP	analysis
_cache/pdb_Q03828.json	pdb_Q03828.json	.json	source_data	153	1780142207.2484093	_cache	1	False	False	False	False	False	False	False	False	False	False	True	False	KEEP	analysis
_cache/pdb_Q6PIW4.json	pdb_Q6PIW4.json	.json	source_data	469	1780142207.240175	_cache	1	False	False	False	False	False	False	False	False	False	False	True	False	KEEP	analysis
_cache/pdb_Q6SPF0.json	pdb_Q6SPF0.json	.json	source_data	813	1780142207.248409	_cache	1	False	False	False	False	False	False	False	False	False	False	True	False	KEEP	analysis
_cache/pdb_Q8IYI0.json	pdb_Q8IYI0.json	.json	source_data	153	1780142207.248415	_cache	1	False	False	False	False	False	False	False	False	False	False	True	False	KEEP	analysis
_cache/pdb_Q99504.json	pdb_Q99504.json	.json	source_data	302	1780142207.236312	_cache	1	False	False	False	False	False	False	False	False	False	False	True	False	KEEP	analysis
_cache/pdb_Q9UHB9.json	pdb_Q9UHB9.json	.json	source_data	1521	1780142207.2484088	_cache	1	False	False	False	False	False	False	False	False	False	False	True	False	KEEP	analysis
_cache/pdb_Q9UKT7.json	pdb_Q9UKT7.json	.json	source_data	304	1780142207.2404375	_cache	1	False	False	False	False	False	False	False	False	False	False	True	False	KEEP	analysis
_cache/pubmed2_EVX2.json	pubmed2_EVX2.json	.json	source_data	565	1780142381.8789513	_cache	1	False	False	False	False	False	False	False	False	False	False	True	False	KEEP	analysis
_cache/pubmed2_EYA3.json	pubmed2_EYA3.json	.json	source_data	924	1780142376.1883087	_cache	1	False	False	False	False	False	False	False	False	False	False	True	False	KEEP	analysis
_cache/pubmed2_FBXL3.json	pubmed2_FBXL3.json	.json	source_data	917	1780142384.8713706	_cache	1	False	False	False	False	False	False	False	False	False	False	True	False	KEEP	analysis
_cache/pubmed2_FIGNL1.json	pubmed2_FIGNL1.json	.json	source_data	544	1780142379.1010847	_cache	1	False	False	False	False	False	False	False	False	False	False	True	False	KEEP	analysis
_cache/pubmed2_NUTF2.json	pubmed2_NUTF2.json	.json	source_data	378	1780142387.7510798	_cache	1	False	False	False	False	False	False	False	False	False	False	True	False	KEEP	analysis
_cache/pubmed2_SAMD1.json	pubmed2_SAMD1.json	.json	source_data	433	1780142390.7345762	_cache	1	False	False	False	False	False	False	False	False	False	False	True	False	KEEP	analysis
_cache/pubmed2_SHLD1.json	pubmed2_SHLD1.json	.json	source_data	411	1780142396.4491303	_cache	1	False	False	False	False	False	False	False	False	False	False	True	False	KEEP	analysis
_cache/pubmed2_SRP68.json	pubmed2_SRP68.json	.json	source_data	599	1780142393.639926	_cache	1	False	False	False	False	False	False	False	False	False	False	True	False	KEEP	analysis
_cache/pubmed_EVX2.json	pubmed_EVX2.json	.json	source_data	655	1780142203.9945953	_cache	1	False	False	False	False	False	False	False	False	False	False	True	False	KEEP	analysis
_cache/pubmed_EYA3.json	pubmed_EYA3.json	.json	source_data	1283	1780142256.7409914	_cache	1	False	False	False	False	False	False	False	False	False	False	True	False	KEEP	analysis
_cache/pubmed_FBXL3.json	pubmed_FBXL3.json	.json	source_data	1119	1780142262.9958973	_cache	1	False	False	False	False	False	False	False	False	False	False	True	False	KEEP	analysis
_cache/pubmed_FIGNL1.json	pubmed_FIGNL1.json	.json	source_data	724	1780142259.8672588	_cache	1	False	False	False	False	False	False	False	False	False	False	True	False	KEEP	analysis
