path	file_type	rows_or_lines	columns_if_table	has_gene_column	has_status_column	has_category_column	has_score_column	has_report_path_column	likely_usefulness	recommended_role	reason
Proteins.md	md	72	#;Symbol	True	False	False	False	False	medium	SECONDARY_METADATA_SOURCE	Symbol list only; useful for coverage/candidate list but lacks status/category/score/report path.
audit_work/AAAS_pubmed_disambiguation_20260603_004106.tsv	tsv	7	query_type;query;raw_count;estimated_relevant_count;excluded_reason;representative_pmids;interpretation	False	False	False	False	False	low	IGNORE_FOR_WEB	Not enough structured web-index value.
audit_work/FAM9C_false_absence_reharvest_log_20260604_221004.tsv	tsv	4	gene;source;query;success;evidence_found;result_summary;error;note	True	False	False	False	False	low	IGNORE_FOR_WEB	Not enough structured web-index value.
audit_work/audit_all_after_ppi_partial.json	json	2	A1CF;AAAS;AARS1;AASS;AATF;ABI1;ABI2;ABLIM2;ABR;ABT1;ABTB1;ACACA;ACADS;ACAT2;ACIN1;ACOT12;ACOX1;ACP1;ADARB1;ADARB2;ADAT1;ADAT2;ADD1;ADIG;ADIRF;ADK;ADNP;ADRA1A;AEBP1;AEN;AFDN;AFF1;AFF2;AFF3;AFF4;AGBL2;AGL;AGPAT3;AHCTF1;AHCY;AHDC1;AHRR;AICDA;AIM2;AIMP2;AIPL1;AJUBA;AK6;AK9;AKAP8;AKAP8L;AKIRIN2;AKNA;AKT2;AKT3;AKTIP;ALKBH3;ALKBH4;ALKBH8;ALMS1;ALOX5;ALOX5AP;ALPK3;ALX1;ALX3;ALX4;ALYREF;AMD1;AMHR2;AMPD3;ANHX;ANKLE1;ANKRD1;ANKRD11;ANKRD17;ANKRD2;ANKRD22;ANKRD31;ANKRD35;ANKRD52	False	True	True	False	True	low	IGNORE_FOR_WEB	Not enough structured web-index value.
audit_work/audit_all_after_ppi_scan_fix.json	json	2	A1CF;AAAS;AARS1;AASS;AATF;ABI1;ABI2;ABLIM2;ABR;ABT1;ABTB1;ACACA;ACADS;ACAT2;ACIN1;ACOT12;ACOX1;ACP1;ADARB1;ADARB2;ADAT1;ADAT2;ADD1;ADIG;ADIRF;ADK;ADNP;ADRA1A;AEBP1;AEN;AFDN;AFF1;AFF2;AFF3;AFF4;AGBL2;AGL;AGPAT3;AHCTF1;AHCY;AHDC1;AHRR;AICDA;AIM2;AIMP2;AIPL1;AJUBA;AK6;AK9;AKAP8;AKAP8L;AKIRIN2;AKNA;AKT2;AKT3;AKTIP;ALKBH3;ALKBH4;ALKBH8;ALMS1;ALOX5;ALOX5AP;ALPK3;ALX1;ALX3;ALX4;ALYREF;AMD1;AMHR2;AMPD3;ANHX;ANKLE1;ANKRD1;ANKRD11;ANKRD17;ANKRD2;ANKRD22;ANKRD31;ANKRD35;ANKRD52	False	True	True	False	True	low	IGNORE_FOR_WEB	Not enough structured web-index value.
audit_work/audit_all_after_safe_repair.json	json	2	A1CF;AAAS;AARS1;AASS;AATF;ABI1;ABI2;ABLIM2;ABR;ABT1;ABTB1;ACACA;ACADS;ACAT2;ACIN1;ACOT12;ACOX1;ACP1;ADARB1;ADARB2;ADAT1;ADAT2;ADD1;ADIG;ADIRF;ADK;ADNP;ADRA1A;AEBP1;AEN;AFDN;AFF1;AFF2;AFF3;AFF4;AGBL2;AGL;AGPAT3;AHCTF1;AHCY;AHDC1;AHRR;AICDA;AIM2;AIMP2;AIPL1;AJUBA;AK6;AK9;AKAP8;AKAP8L;AKIRIN2;AKNA;AKT2;AKT3;AKTIP;ALKBH3;ALKBH4;ALKBH8;ALMS1;ALOX5;ALOX5AP;ALPK3;ALX1;ALX3;ALX4;ALYREF;AMD1;AMHR2;AMPD3;ANHX;ANKLE1;ANKRD1;ANKRD11;ANKRD17;ANKRD2;ANKRD22;ANKRD31;ANKRD35;ANKRD52	False	True	True	False	True	low	IGNORE_FOR_WEB	Not enough structured web-index value.
audit_work/audit_all_final.json	json	2	A1CF;AAAS;AARS1;AASS;AATF;ABI1;ABI2;ABLIM2;ABR;ABT1;ABTB1;ACACA;ACADS;ACAT2;ACIN1;ACOT12;ACOX1;ACP1;ADARB1;ADARB2;ADAT1;ADAT2;ADD1;ADIG;ADIRF;ADK;ADNP;ADRA1A;AEBP1;AEN;AFDN;AFF1;AFF2;AFF3;AFF4;AGBL2;AGL;AGPAT3;AHCTF1;AHCY;AHDC1;AHRR;AICDA;AIM2;AIMP2;AIPL1;AJUBA;AK6;AK9;AKAP8;AKAP8L;AKIRIN2;AKNA;AKT2;AKT3;AKTIP;ALKBH3;ALKBH4;ALKBH8;ALMS1;ALOX5;ALOX5AP;ALPK3;ALX1;ALX3;ALX4;ALYREF;AMD1;AMHR2;AMPD3;ANHX;ANKLE1;ANKRD1;ANKRD11;ANKRD17;ANKRD2;ANKRD22;ANKRD31;ANKRD35;ANKRD52	False	True	True	False	True	low	IGNORE_FOR_WEB	Not enough structured web-index value.
audit_work/claude_protocols/00_master_workflow.md	md	71		False	True	False	True	False	low	IGNORE_FOR_WEB	Not enough structured web-index value.
audit_work/claude_protocols/01_repair_incomplete_reports.md	md	249	gene;category;status;char_count;risk;flags;has_hpa_details;has_if_or_rescue;has_plddt;has_pae_or_note;has_pdb_info;has_real_ppi;has_pubmed_counts;has_key_lit;rejection_lines;lazy_phrases	True	True	True	True	True	low	IGNORE_FOR_WEB	Not enough structured web-index value.
audit_work/claude_protocols/02_check_data_absence_mismatch.md	md	173	gene;category;status;report_path;mismatch_type;risk;report_claim;actual_evidence;packet_evidence;source_checked;candidates_count;local_files_count;action_suggestion;notes	True	True	True	False	True	low	IGNORE_FOR_WEB	Not enough structured web-index value.
audit_work/claude_protocols/03_repair_false_absence.md	md	178	Partner;来源;方法/score/PMID;功能类别;调控相关？	True	False	False	True	True	low	IGNORE_FOR_WEB	Not enough structured web-index value.
audit_work/claude_protocols/04_recheck_false_rejections.md	md	167	gene;report_path;char_count;rejection_reason;hpa_main;hpa_additional;hpa_reliability;uniprot_location;go_cc_nuclear;pubmed_strict;pubmed_broad;structure_status;ppi_status;risk;rationale;action_suggestion	True	True	True	True	True	medium	MANUAL_REVIEW	Markdown contains protein-summary terms but is not the known main summary.
audit_work/claude_protocols/05_continue_new_proteins.md	md	241	sheet;row;gene;species_note;existing_report;existing_status;action;reason	True	True	True	True	True	medium	MANUAL_REVIEW	Markdown contains protein-summary terms but is not the known main summary.
audit_work/claude_protocols/06_autonomous_repair_loop.md	md	148		True	True	False	True	False	low	IGNORE_FOR_WEB	Not enough structured web-index value.
audit_work/claude_protocols/07_repair_hpa_if_consistency.md	md	155	Protein Atlas (IF);暂无数据（Pending cell analysis），核定位基于 UniProt;—	True	False	True	True	True	low	IGNORE_FOR_WEB	Not enough structured web-index value.
audit_work/claude_protocols/README.md	md	119		True	True	False	True	False	low	IGNORE_FOR_WEB	Not enough structured web-index value.
audit_work/claude_runs/query_apis.py	py	115		True	False	False	True	False	low	IGNORE_FOR_WEB	Not enough structured web-index value.
audit_work/claude_runs/query_uniprot_full.py	py	110		True	False	False	False	False	low	IGNORE_FOR_WEB	Not enough structured web-index value.
audit_work/claude_runs/sheet3_batch001_prompt.md	md	39		True	True	False	True	False	medium	MANUAL_REVIEW	Markdown contains protein-summary terms but is not the known main summary.
audit_work/claude_runs/sheet3_dnph1_prompt.md	md	21		True	True	False	False	True	low	IGNORE_FOR_WEB	Not enough structured web-index value.
audit_work/claude_runs/sheet3_gap_next5_supervised_prompt.md	md	75		True	True	True	True	False	medium	MANUAL_REVIEW	Markdown contains protein-summary terms but is not the known main summary.
audit_work/claude_runs/sheet3_gap_next5b_supervised_prompt.md	md	59		True	True	True	True	False	medium	MANUAL_REVIEW	Markdown contains protein-summary terms but is not the known main summary.
