priority_rank	gene_symbol	full_name	citations	hotness	hpa_nuclear	hpa_locations	hpa_reliability	tier	evidence_quality	uniprot_length	Combined_BS_Human_Degree	Has_Any_Human_PPI	uniprot_accession	uniprot_subcellular	category_reason	ChIP_Atlas_class	ENCODE_ChIP_WT	combined_nuclear_ppi	STRING_Human_Nuclear_Degree	BioGRID_Human_Nuclear_Degree	sheet
1	RRP7A	Ribosomal RNA-processing protein 7 homolog A	9	中等	True	Cell Junctions; Nucleoli; Nucleoplasm	Supported	1	3	280.0	227	True	Q9Y3A4	SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:33199730, ECO:0000269|PubMed:34516797}. Cell projection, cilium {ECO:0000269|PubMed:33199730}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:33199730}.	reclassified_from_RBP		0	209	125	84	unclassified_core_nuclear
2	SUGP2	SURP and G-patch domain-containing protein 2	14	中等	True	Nuclear bodies; Nucleoplasm	Enhanced	1	3	1082.0	204	True	Q8IX01	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.	reclassified_from_RBP		0	123	1	122	unclassified_core_nuclear
3	PNMA1	Paraneoplastic antigen Ma1	27	较多	True	Cytosol; Nucleoplasm	Uncertain	1	3	353.0	185	True	Q8ND90	SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:10050892}. Note=In tumor cells, it is cytoplasmic.	core_nuclear_unclassified		0	131	3	128	unclassified_core_nuclear
4	RCOR3	REST corepressor 3	16	中等	True	Cytosol; Nucleoplasm	Enhanced	1	3	495.0	171	True	Q9P2K3	SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00512, ECO:0000255|PROSITE-ProRule:PRU00624}.	core_nuclear_unclassified	TFs and others	0	143	10	133	unclassified_core_nuclear
5	SUGP1	SURP and G-patch domain-containing protein 1	46	较多	True	Nucleoplasm	Approved	1	3	645.0	156	True	A5PLN4;A8K7S0;Q8IWZ8	SUBCELLULAR LOCATION: Nucleus {ECO:0000256|ARBA:ARBA00004123}.;SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.	core_nuclear_unclassified;merged_SF4		0	129	24	105	unclassified_core_nuclear
6	TMEM209	Transmembrane protein 209	10	中等	True	Nuclear membrane; Nuclear speckles; Vesicles	Approved	1	3	561.0	147	True	Q96SK2	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000255}. Nucleus envelope {ECO:0000269|PubMed:22719065}. Golgi apparatus {ECO:0000269|PubMed:22719065}. Cytoplasm {ECO:0000269|PubMed:22719065}. Note=Weakly expressed in the cytoplasm. {ECO:0000269|PubMed:22719065}.	reclassified_from_suspicious (Tier 1)		0	65	1	64	unclassified_core_nuclear
7	SCAF4	SR-related and CTD-associated factor 4	30	较多	True	Nucleoplasm	Enhanced	1	3	1147.0	143	True	O95104	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:31104839}.	reclassified_from_RBP		0	118	5	113	unclassified_core_nuclear
8	TMEM109	Voltage-gated monoatomic cation channel TMEM109	12	中等	True	Actin filaments; Endoplasmic reticulum; Nuclear membrane; Vesicles	Approved	1	3	243.0	135	True	Q9BVC6	SUBCELLULAR LOCATION: Nucleus outer membrane {ECO:0000250|UniProtKB:O77751}; Multi-pass membrane protein {ECO:0000250|UniProtKB:O77751}. Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:O77751}; Multi-pass membrane protein {ECO:0000250|UniProtKB:O77751}. Sarcoplasmic reticulum membrane {ECO:0000250|UniProtKB:O77751}; Multi-pass membrane protein {ECO:0000250|UniProtKB:O77751}.	reclassified_from_suspicious (Tier 1)		0	58	8	50	unclassified_core_nuclear
9	SLC4A1AP	Kanadaptin	15	中等	True	Nucleoplasm; Plasma membrane; Vesicles	Supported	1	3	742.0	131	True	Q9BWU0	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:15764369}. Cytoplasm {ECO:0000269|PubMed:15764369}. Note=Mainly nuclear. Small amounts are found in the cytoplasm.	reclassified_from_suspicious (Tier 1)		0	106	2	104	unclassified_core_nuclear
10	PIP4K2B	Phosphatidylinositol 5-phosphate 4-kinase type-2 beta	29	较多	True	Nucleoplasm	Supported	1	3	416.0	123	True	P78356	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}. Cell membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}. Nucleus {ECO:0000269|PubMed:20583997}. Cytoplasm {ECO:0000269|PubMed:20583997}. Note=Associated with the plasma membrane and the endoplasmic reticulum. {ECO:0000250}.	reclassified_from_suspicious (Tier 1)		0	89	27	62	unclassified_core_nuclear
