batch_id	priority	gene	path	lines	nuclear_score	issue_count	missing_or_suspect_sources	needs_harvest	needs_reevaluation	recommended_action	state	reason
1	P0	RCBTB1	detail/rejected/RCBTB1/RCBTB1-evaluation.md	49	0	8	HARVEST_FAILURE	True	True	REHARVEST_THEN_REEVALUATE	PENDING	False-absence reject (harvest failure)
1	P0	YPEL1	detail/rejected/YPEL1/YPEL1-evaluation.md	49	0	8	HARVEST_FAILURE	True	True	REHARVEST_THEN_REEVALUATE	PENDING	False-absence reject (harvest failure)
1	P0	PTOV1	detail/rejected/PTOV1/PTOV1-evaluation.md	49	0	8	HARVEST_FAILURE	True	True	REHARVEST_THEN_REEVALUATE	PENDING	False-absence reject (harvest failure)
1	P0	OOEP	detail/rejected/OOEP/OOEP-evaluation.md	49	0	8	HARVEST_FAILURE	True	True	REHARVEST_THEN_REEVALUATE	PENDING	False-absence reject (harvest failure)
1	P0	RMI2	detail/rejected/RMI2/RMI2-evaluation.md	49	0	8	HARVEST_FAILURE	True	True	REHARVEST_THEN_REEVALUATE	PENDING	False-absence reject (harvest failure)
2	P0	URI1	detail/rejected/URI1/URI1-evaluation.md	49	0	8	HARVEST_FAILURE	True	True	REHARVEST_THEN_REEVALUATE	PENDING	False-absence reject (harvest failure)
2	P0	PLSCR4	detail/rejected/PLSCR4/PLSCR4-evaluation.md	49	0	8	HARVEST_FAILURE	True	True	REHARVEST_THEN_REEVALUATE	PENDING	False-absence reject (harvest failure)
2	P0	TSPY8	detail/rejected/TSPY8/TSPY8-evaluation.md	49	0	8	HARVEST_FAILURE	True	True	REHARVEST_THEN_REEVALUATE	PENDING	False-absence reject (harvest failure)
2	P0	MACO1	detail/rejected/MACO1/MACO1-evaluation.md	49	0	8	HARVEST_FAILURE	True	True	REHARVEST_THEN_REEVALUATE	PENDING	False-absence reject (harvest failure)
2	P0	SYNE3	detail/rejected/SYNE3/SYNE3-evaluation.md	49	0	8	HARVEST_FAILURE	True	True	REHARVEST_THEN_REEVALUATE	PENDING	False-absence reject (harvest failure)
3	P0	JMJD7	detail/rejected/JMJD7/JMJD7-evaluation.md	49	0	8	HARVEST_FAILURE	True	True	REHARVEST_THEN_REEVALUATE	PENDING	False-absence reject (harvest failure)
