gene	current_path	in_queue	was_processed	has_harvest_packet	packet_path	missing_sources	report_status	report_lines	was_rejected_due_to_missing_harvest	needs_reharvest	needs_manual_review	reason
ABCA13	NONE	True	False	False	NONE	ALL	NO_REPORT	0	True	True	True	No report exists
ABCA17	NONE	True	False	False	NONE	ALL	NO_REPORT	0	True	True	True	No report exists
ABCA2	NONE	True	False	False	NONE	ALL	NO_REPORT	0	True	True	True	No report exists
ABCA3	NONE	True	False	False	NONE	ALL	NO_REPORT	0	True	True	True	No report exists
ACP4	NONE	True	False	False	NONE	ALL	NO_REPORT	0	True	True	True	No report exists
ADAM33	NONE	True	False	False	NONE	ALL	NO_REPORT	0	True	True	True	No report exists
ADAT3	NONE	True	False	False	NONE	ALL	NO_REPORT	0	True	True	True	No report exists
ADPRHL1	NONE	True	False	False	NONE	ALL	NO_REPORT	0	True	True	True	No report exists
ADPRM	NONE	True	False	False	NONE	ALL	NO_REPORT	0	True	True	True	No report exists
ADPRS	NONE	True	False	False	NONE	ALL	NO_REPORT	0	True	True	True	No report exists
AFMID	NONE	True	False	False	NONE	ALL	NO_REPORT	0	True	True	True	No report exists
AGAP2	NONE	True	False	False	NONE	ALL	NO_REPORT	0	True	True	True	No report exists
AGBL5	NONE	True	False	False	NONE	ALL	NO_REPORT	0	True	True	True	No report exists
AGFG1	NONE	True	False	False	NONE	ALL	NO_REPORT	0	True	True	True	No report exists
AGPAT4	NONE	True	False	False	NONE	ALL	NO_REPORT	0	True	True	True	No report exists
AGTPBP1	NONE	True	False	False	NONE	ALL	NO_REPORT	0	True	True	True	No report exists
AHCYL2	NONE	True	False	False	NONE	ALL	NO_REPORT	0	True	True	True	No report exists
AIRIM	NONE	True	False	False	NONE	ALL	NO_REPORT	0	True	True	True	No report exists
AKAP6	NONE	True	False	False	NONE	ALL	NO_REPORT	0	True	True	True	No report exists
AKAP7	NONE	True	False	False	NONE	ALL	NO_REPORT	0	True	True	True	No report exists
AKIP1	NONE	True	False	False	NONE	ALL	NO_REPORT	0	True	True	True	No report exists
AKIRIN1	NONE	True	False	False	NONE	ALL	NO_REPORT	0	True	True	True	No report exists
ALG14	NONE	True	False	False	NONE	ALL	NO_REPORT	0	True	True	True	No report exists
ALG8	NONE	True	False	False	NONE	ALL	NO_REPORT	0	True	True	True	No report exists
ALKBH2	NONE	True	False	False	NONE	ALL	NO_REPORT	0	True	True	True	No report exists
ALKBH6	NONE	True	False	False	NONE	ALL	NO_REPORT	0	True	True	True	No report exists
AMDHD1	NONE	True	False	False	NONE	ALL	NO_REPORT	0	True	True	True	No report exists
AMDHD2	NONE	True	False	False	NONE	ALL	NO_REPORT	0	True	True	True	No report exists
AMER1	NONE	True	False	False	NONE	ALL	NO_REPORT	0	True	True	True	No report exists
ANAPC10	NONE	True	False	False	NONE	ALL	NO_REPORT	0	True	True	True	No report exists
ANAPC11	NONE	True	False	False	NONE	ALL	NO_REPORT	0	True	True	True	No report exists
ANAPC13	NONE	True	False	False	NONE	ALL	NO_REPORT	0	True	True	True	No report exists
ANAPC2	NONE	True	False	False	NONE	ALL	NO_REPORT	0	True	True	True	No report exists
ANAPC4	NONE	True	False	False	NONE	ALL	NO_REPORT	0	True	True	True	No report exists
ANAPC5	NONE	True	False	False	NONE	ALL	NO_REPORT	0	True	True	True	No report exists
ANAPC7	NONE	True	False	False	NONE	ALL	NO_REPORT	0	True	True	True	No report exists
ANGEL1	NONE	True	False	False	NONE	ALL	NO_REPORT	0	True	True	True	No report exists
ANGEL2	NONE	True	False	False	NONE	ALL	NO_REPORT	0	True	True	True	No report exists
ANKEF1	NONE	True	False	False	NONE	ALL	NO_REPORT	0	True	True	True	No report exists
ANKFN1	NONE	True	False	False	NONE	ALL	NO_REPORT	0	True	True	True	No report exists
ANKMY2	NONE	True	False	False	NONE	ALL	NO_REPORT	0	True	True	True	No report exists
ANKRA2	NONE	True	False	False	NONE	ALL	NO_REPORT	0	True	True	True	No report exists
ANKRD10	NONE	True	False	False	NONE	ALL	NO_REPORT	0	True	True	True	No report exists
ANKRD12	NONE	True	False	False	NONE	ALL	NO_REPORT	0	True	True	True	No report exists
ANKRD23	NONE	True	False	False	NONE	ALL	NO_REPORT	0	True	True	True	No report exists
ANKRD30B	NONE	True	False	False	NONE	ALL	NO_REPORT	0	True	True	True	No report exists
